bundle_name,card_index,data_amount,description,list_item_index,package_type,price,scrape_method,source_page,speed,title,validity
4G,32,85GB,Data Bundle85GB4GAnytime Data85GB,,postpaid,Monthly RentalRs.1890Startup Fee:Rs.1890,playwright,Regular Broadband Packages,,HBB Anytime 85GB,
Fibre,33,58,Data Bundle58FibreAnytime Data58 GB53ADSLAnytime Data53 GB,,postpaid,Monthly RentalRs.2150Startup Fee:Rs.500,playwright,Regular Broadband Packages,,Any Flix,
4G,34,Daily,Data BundleDaily4GUnlimited DataDaily 5GB at standard LTE speed,,postpaid,Monthly RentalRs.2350Startup Fee:Rs.500,playwright,Regular Broadband Packages,,Unlimited LTE Flash 5,
4G,35,115GB,Data Bundle115GB4GAnytime Data115GB,,postpaid,Monthly RentalRs.2590Startup Fee:Rs.2590,playwright,Regular Broadband Packages,,HBB Anytime 115GB,
4G,36,Up,Data BundleUp4GUnlimited DataUp to 2Mbps speed,,postpaid,Monthly RentalRs.2950Startup Fee:Rs.500,playwright,Regular Broadband Packages,2Mbps,LTE Unlimited 2,
Fibre,37,120,Data Bundle120FibreAnytime Data120 GB100ADSLAnytime Data100 GB,,postpaid,Monthly RentalRs.3890Startup Fee:Rs.500,playwright,Regular Broadband Packages,,Any Tide,
4G,38,200GB,Data Bundle200GB4GAnytime Data200GB,,postpaid,Monthly RentalRs.3990Startup Fee:Rs.3990,playwright,Regular Broadband Packages,,HBB Anytime 200GB,
4G,39,Daily,Data BundleDaily4GUnlimited DataDaily 10GB at standard LTE speed,,postpaid,Monthly RentalRs.4090Startup Fee:Rs.500,playwright,Regular Broadband Packages,,Unlimited LTE Flash 10,
4G,40,Up,Data BundleUp4GUnlimited DataUp to 4Mbps speed,,postpaid,Monthly RentalRs.5150Startup Fee:Rs.500,playwright,Regular Broadband Packages,4Mbps,LTE Unlimited 4,
ADSL,41,Up,Data BundleUpADSLUnlimited DataUp to 4Mbps speed,,postpaid,Monthly RentalRs.5790Startup Fee:Rs.500,playwright,Regular Broadband Packages,4Mbps,ADSL Unlimited 4,
Fibre,42,Daily,Data BundleDailyFibreUnlimited DataDaily 10GB up to 300Mbps (Thereafter 1Mbps),,postpaid,Monthly RentalRs.5990Startup Fee:Rs.500,playwright,Regular Broadband Packages,300Mbps,Fibre Unlimited Flash 10,
